"id","latitude","longitude","type","brand","taken","pickedup","imageUri","ByteArrayImage","X"
"34","'712254C1-4E77-42DE-A66F-D17371F066B4'",52.363108,4.945877," Aluminium blikje"," Fernandes"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_171146_16997022032_l.jpg'"," ''",NA
"35","'157B1FFB-B981-4C8E-9F2F-064730404756'",52.363108,4.945877," Aluminium blikje"," Bullit"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_171155_16810952160_l.jpg'"," ''",NA
"36","'1E47D4E4-D733-4149-B949-A2F0A11FFA8F'",52.363108,4.945877," Aluminium blikje"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_171159_16997518881_l.jpg'"," ''",NA
"37","'53E94194-A11F-4FF6-BA20-B6CA4F1A1EDF'",52.363108,4.945877," Pouch"," Capri-Sonne"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_171204_16376033754_l.jpg'"," ''",NA
"38","'DB6DE25D-5512-42D4-A311-241D44F0806D'",52.363108,4.945877," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_171214_16972459256_l.jpg'"," ''",NA
"39","'621B145F-08DF-48C1-AE97-A68A65536E7D'",52.363108,4.945877," Aluminium blikje"," Amstel"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_171224_16997532711_l.jpg'"," ''",NA
"40","'5A3E20B8-E06A-4A3B-A159-E0BD6A11F91D'",52.363108,4.945877," Aluminium blikje"," Fanta"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_171233_16998418795_l.jpg'"," ''",NA
"41","'DDD79290-3116-4FC1-AF68-27AD2C6F7AAD'",52.363108,4.945877," Aluminium blikje"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_171252_16997002412_l.jpg'"," ''",NA
"42","'14CFFB33-16A7-4C7B-B2EE-5A52FBC99AEF'",52.363108,4.945877," Aluminium blikje"," Slammers"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_171256_16791043497_l.jpg'"," ''",NA
"43","'DA95BF08-07A1-423C-8100-AC704E0A2225'",52.363108,4.945877," Aluminium blikje"," Coca Cola"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_171259_16376028844_l.jpg'"," ''",NA
